Nodes,Distance,PLR,DIO sent all,DIO Recv all,DIOsentAvg,DIOrecvAvg,DIOsentMax,DIOrecvMax,DISavg,DISmax,DAOavg,DAOmax,LocalRAvg,LocalRMax,DelayAvg,DelayMax,IsAttack,Attack
10,20,5,750,8250,75,751,93,901,2,3,39,50,0,0,119,248,-1,None
10,20,10,750,8250,77,753,96,941,3,3,36,48,0,0,122,238,-1,None
10,20,15,750,8250,76,752,91,917,2,3,38,51,0,0,115,236,-1,None
10,20,20,750,8250,77,753,92,941,1,3,34,47,0,0,121,240,-1,None
10,25,5,750,7500,75,751,93,938,3,3,41,50,0,0,114,214,-1,None
10,25,10,750,7500,77,753,93,926,3,3,33,43,0,0,130,240,-1,None
10,25,15,750,7500,77,752,96,917,3,3,35,47,0,0,133,238,-1,None
10,25,20,750,7500,76,752,93,902,1,3,41,54,0,0,123,264,-1,None
10,30,5,750,4500,75,751,93,931,1,3,34,44,0,0,122,224,-1,None
10,30,10,750,4500,75,752,92,917,1,3,39,50,0,0,120,250,-1,None
10,30,15,750,4500,76,753,93,926,1,3,41,53,0,0,117,246,-1,None
10,30,20,750,4500,76,753,91,911,3,3,35,43,0,0,136,256,-1,None
10,35,5,750,4500,75,751,93,931,1,3,38,48,0,0,122,212,-1,None
10,35,10,750,4500,75,751,91,938,3,3,38,51,0,0,116,250,-1,None
10,35,15,750,4500,75,751,90,923,1,3,41,52,0,0,116,270,-1,None
10,35,20,750,4500,75,750,93,915,2,3,40,49,0,0,135,264,-1,None
10,40,5,750,3000,75,752,93,940,2,3,43,51,0,0,122,248,-1,None
10,40,10,750,3000,75,751,93,901,3,3,42,52,0,0,118,242,-1,None
10,40,15,750,3000,77,757,93,938,3,3,36,49,0,0,128,232,-1,None
10,40,20,750,3000,75,752,92,924,2,3,43,51,0,0,132,278,-1,None
10,45,5,750,3000,75,752,91,917,2,3,42,52,0,0,113,250,-1,None
10,45,10,750,3000,77,756,96,907,1,3,38,46,0,0,114,260,-1,None
10,45,15,750,3000,76,754,91,934,1,3,36,45,0,0,132,258,-1,None
10,45,20,750,3000,77,757,93,915,1,3,37,48,0,0,132,250,-1,None
20,20,5,1500,16500,76,1502,92,1802,2,3,72,81,0,0,228,456,-1,None
20,20,10,1500,16500,75,1501,90,1876,2,3,63,73,0,0,254,520,-1,None
20,20,15,1500,16500,76,1502,95,1832,3,3,70,82,0,0,254,460,-1,None
20,20,20,1500,16500,76,1503,91,1803,2,3,65,76,0,0,258,508,-1,None
20,25,5,1500,15000,75,1501,92,1801,1,3,66,78,0,0,230,476,-1,None
20,25,10,1500,15000,75,1501,92,1831,3,3,70,82,0,0,252,500,-1,None
20,25,15,1500,15000,76,1503,95,1803,2,3,70,83,0,0,256,504,-1,None
20,25,20,1500,15000,75,1501,92,1876,1,3,66,78,0,0,246,556,-1,None
20,30,5,1500,9000,76,1504,93,1880,3,3,64,77,0,0,242,472,-1,None
20,30,10,1500,9000,75,1502,91,1847,3,3,71,81,0,0,236,464,-1,None
20,30,15,1500,9000,75,1501,93,1816,1,3,72,80,0,0,260,484,-1,None
20,30,20,1500,9000,76,1505,94,1851,1,3,68,77,0,0,242,532,-1,None
20,35,5,1500,9000,75,1503,93,1878,2,3,69,79,0,0,220,488,-1,None
20,35,10,1500,9000,76,1504,95,1819,1,3,71,80,0,0,234,480,-1,None
20,35,15,1500,9000,75,1503,93,1818,1,3,64,77,0,0,264,520,-1,None
20,35,20,1500,9000,76,1504,91,1849,1,3,71,80,0,0,260,488,-1,None
20,40,5,1500,6000,75,1504,90,1849,2,3,65,78,0,0,222,428,-1,None
20,40,10,1500,6000,75,1501,90,1801,1,3,67,75,0,0,220,484,-1,None
20,40,15,1500,6000,75,1505,91,1851,1,3,69,80,0,0,264,500,-1,None
20,40,20,1500,6000,75,1501,93,1861,2,3,73,83,0,0,256,496,-1,None
20,45,5,1500,6000,75,1504,91,1804,3,3,71,82,0,0,210,448,-1,None
20,45,10,1500,6000,76,1506,94,1807,2,3,65,77,0,0,252,472,-1,None
20,45,15,1500,6000,75,1501,93,1846,1,3,74,85,0,0,252,468,-1,None
20,45,20,1500,6000,75,1505,90,1806,2,3,72,83,0,0,260,540,-1,None
20,20,5,1500,16500,75,1501,90,1831,1,3,67,78,0,0,238,500,-1,None
20,20,10,1500,16500,75,1502,90,1802,2,3,65,76,0,0,230,444,-1,None
20,20,15,1500,16500,75,1502,93,1877,2,3,72,80,0,0,262,496,-1,None
20,20,20,1500,16500,76,1503,91,1878,2,3,69,82,0,0,280,480,-1,None
20,25,5,1500,15000,75,1501,90,1831,3,3,68,76,0,0,216,484,-1,None
20,25,10,1500,15000,76,1503,91,1833,2,3,63,73,0,0,228,500,-1,None
20,25,15,1500,15000,75,1502,91,1802,2,3,64,77,0,0,242,532,-1,None
20,25,20,1500,15000,76,1503,95,1863,1,3,71,84,0,0,260,504,-1,None
20,30,5,1500,9000,75,1501,91,1816,2,3,67,76,0,0,224,476,-1,None
20,30,10,1500,9000,75,1501,92,1861,1,3,72,80,0,0,228,492,-1,None
20,30,15,1500,9000,76,1505,92,1881,2,3,73,83,0,0,262,528,-1,None
20,30,20,1500,9000,75,1502,92,1862,1,3,73,83,0,0,256,488,-1,None
20,35,5,1500,9000,76,1505,92,1866,2,3,72,83,0,0,238,472,-1,None
20,35,10,1500,9000,75,1502,90,1847,2,3,67,76,0,0,232,496,-1,None
20,35,15,1500,9000,75,1502,91,1877,1,3,69,77,0,0,268,508,-1,None
20,35,20,1500,9000,75,1502,91,1802,2,3,66,75,0,0,270,528,-1,None
20,40,5,1500,6000,75,1503,93,1878,3,3,70,83,0,0,240,436,-1,None
20,40,10,1500,6000,76,1506,93,1822,3,3,70,83,0,0,248,460,-1,None
20,40,15,1500,6000,76,1506,92,1822,1,3,68,80,0,0,238,512,-1,None
20,40,20,1500,6000,75,1503,91,1863,2,3,70,80,0,0,250,536,-1,None
20,45,5,1500,6000,76,1506,91,1807,2,3,74,86,0,0,210,468,-1,None
20,45,10,1500,6000,76,1507,95,1868,1,3,73,82,0,0,220,472,-1,None
20,45,15,1500,6000,76,1507,91,1823,3,3,68,77,0,0,240,528,-1,None
30,45,20,2250,9000,75,2258,91,2799,2,3,103,115,0,0,396,756,-1,None
30,20,5,2250,24750,75,2252,93,2724,1,3,93,105,0,0,333,654,-1,None
30,20,10,2250,24750,75,2250,93,2722,3,3,93,103,0,0,378,660,-1,None
30,20,15,2250,24750,75,2252,90,2792,1,3,95,105,0,0,345,756,-1,None
30,20,20,2250,24750,75,2251,91,2791,2,3,97,108,0,0,387,810,-1,None
30,25,5,2250,22500,76,2253,92,2771,1,3,97,105,0,0,360,744,-1,None
30,25,10,2250,22500,75,2251,92,2768,2,3,101,112,0,0,336,768,-1,None
30,25,15,2250,22500,75,2251,93,2723,2,3,100,112,0,0,363,804,-1,None
30,25,20,2250,22500,75,2251,93,2723,1,3,100,109,0,0,405,786,-1,None
30,30,5,2250,13500,75,2252,91,2724,1,3,100,113,0,0,330,660,-1,None
30,30,10,2250,13500,75,2251,92,2813,3,3,96,105,0,0,366,738,-1,None
30,30,15,2250,13500,75,2252,91,2724,2,3,101,110,0,0,399,762,-1,None
30,30,20,2250,13500,75,2254,92,2749,1,3,102,110,0,0,408,828,-1,None
30,35,5,2250,13500,75,2253,90,2816,1,3,104,113,0,0,372,732,-1,None
30,35,10,2250,13500,75,2254,91,2794,3,3,97,105,0,0,342,768,-1,None
30,35,15,2250,13500,75,2251,90,2791,2,3,100,108,0,0,393,738,-1,None
30,35,20,2250,13500,75,2253,93,2771,2,3,100,113,0,0,387,720,-1,None
30,40,5,2250,9000,75,2253,92,2816,2,3,100,113,0,0,375,630,-1,None
30,40,10,2250,9000,75,2253,91,2793,2,3,98,108,0,0,339,696,-1,None
30,40,15,2250,9000,75,2251,90,2791,2,3,103,112,0,0,384,738,-1,None
30,40,20,2250,9000,75,2257,92,2753,1,3,99,110,0,0,399,828,-1,None
30,45,5,2250,9000,75,2253,93,2793,3,3,103,115,0,0,324,696,-1,None
30,45,10,2250,9000,75,2252,93,2815,2,3,96,106,0,0,342,738,-1,None
30,45,15,2250,9000,75,2251,90,2701,2,3,96,104,0,0,345,750,-1,None
40,45,20,3000,12000,75,3001,90,3601,2,3,128,141,0,0,500,1016,-1,None
40,20,5,3000,33000,75,3003,93,3633,4,4,131,143,0,0,488,912,-1,None
40,20,10,3000,33000,75,3001,90,3601,4,4,124,135,0,0,508,1016,-1,None
40,20,15,3000,33000,75,3001,93,3661,3,4,131,139,0,0,472,1008,-1,None
40,20,20,3000,33000,75,3001,91,3601,2,4,129,139,0,0,552,1120,-1,None
40,25,5,3000,30000,75,3003,93,3663,4,4,127,139,0,0,460,968,-1,None
40,25,10,3000,30000,75,3003,90,3603,4,4,126,134,0,0,460,880,-1,None
40,25,15,3000,30000,75,3001,93,3751,3,4,131,144,0,0,500,1016,-1,None
40,25,20,3000,30000,75,3003,90,3693,3,4,127,139,0,0,512,1000,-1,None
40,30,5,3000,18000,75,3005,92,3696,3,4,126,139,0,0,464,920,-1,None
40,30,10,3000,18000,75,3001,91,3601,3,4,126,139,0,0,480,896,-1,None
40,30,15,3000,18000,75,3004,92,3634,2,4,127,139,0,0,504,936,-1,None
40,30,20,3000,18000,75,3001,91,3751,4,4,135,146,0,0,544,1088,-1,None
40,35,5,3000,18000,75,3003,90,3693,3,4,134,144,0,0,456,928,-1,None
40,35,10,3000,18000,75,3001,93,3691,3,4,129,142,0,0,488,1040,-1,None
40,35,15,3000,18000,75,3001,91,3721,2,4,127,137,0,0,500,1072,-1,None
40,35,20,3000,18000,75,3002,92,3722,3,4,134,145,0,0,556,960,-1,None
40,40,5,3000,12000,75,3001,93,3691,2,4,128,138,0,0,436,912,-1,None
40,40,10,3000,12000,75,3004,93,3604,4,4,128,139,0,0,504,984,-1,None
40,40,15,3000,12000,75,3006,90,3667,2,4,129,140,0,0,536,1040,-1,None
40,40,20,3000,12000,75,3001,93,3721,4,4,132,142,0,0,552,1040,-1,None
40,45,5,3000,12000,75,3004,92,3634,3,4,127,135,0,0,492,840,-1,None
40,45,10,3000,12000,75,3007,92,3698,3,4,125,133,0,0,512,1032,-1,None
40,45,15,3000,12000,75,3003,90,3753,4,4,135,144,0,0,508,1040,-1,None
50,45,20,3750,15000,75,3758,90,4622,2,4,156,165,0,0,665,1360,-1,None
50,20,5,3750,41250,75,3751,90,4651,3,4,157,167,0,0,595,1230,-1,None
50,20,10,3750,41250,75,3751,90,4576,4,4,153,165,0,0,635,1200,-1,None
50,20,15,3750,41250,75,3753,90,4653,3,4,161,173,0,0,655,1240,-1,None
